frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
7,DC,3/15/16,12:00 pm,1,26,RR,4,0,RR,R,TP-R,AN,1,RB,R,, -RR,,WEB,, - ,,,,,,
,,,,,,,,,GYG,G,,W,,,,, -GW,,,,,,,,,,
,,,,,,,,,GBY,G,TP-G,W,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,WEB,H,,,,,,,,,,,,,,,
,,3/16/16,2:38 pm,2,157,RYW,1,0,RYW,R,,W,1,RYR,G,, -RYW,,WEB,, - ,,,,0,,
,,,,,,,,,,,,,,,,, +RYW,,TP-R,,,,,,,,
,,3/21/16,4:05 pm,3,20,GBW,7,0,GBW,R,,AB,2,GW,R,, -GG,,,, -,,,,0,,
,,,,,,,,,RBY,G,,W,,RBl,R,, +GG,,,,,,,,,,
,,,,,,,,,RWY,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RB ,R,,AB/H,,,,,,,,,,,,,,,
,,,,,,,,,GY ,R,,AB,,,,,,,,,,,,,,,
,,3/22/16,3:35 pm,4,12,RBY,7,0,RBY,R,,W,5,RBY,R,, -RBY,,,, -,,,,0,,
,,,,,,,,,RWY,G,,L,,RYW,R,, -RWY,,,,,,,,,,
,,,,,,,,,RR,R,,L,,RB,G,, -GBY,,,,,,,,,,
,,,,,,,,,GBY,R,,L,,RYG,G,, -RBl,R,,,,,,,,,
,,,,,,,,,RYR,R,,W,,GYR,G,,,,,,,,,,,,
,,,,,,,,,RBl,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,W,,,,,,,,,,,,,,,
,,3/23/16,10:51 am,5,23,GYR,8,0,GYR,R,,L,2,RBY,R,, -GYR,,,, - ,,,,0,,
,,,,,,,,,RWY,G,,AB,,GY,G,, -RWY,,,,,,,,,,
,,,,,,,,,RBW,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,,,,,,,,,,,,
,,3/24/16,2:50 pm,6,20,GBY,5,0,GBY,R,,H,3,RBW,G,, -GYW,G,,, - ,,,,0,,
,,,,,,,,,RWBl,G,,H/T,,GY,R,, -RYW,,,,,,,,,,
,,,,,,,,,GWB,R,,AB,,RBR,R,, +GYW,,,,,,,,,,
,,,,,,,,,RYW,G,TP-G,AB/W,,,,, +RYW,,,,,,,,,,
,,,,,,,,,GYW,G,,W,,,,,,,,,,,,,,,
,,3/25/16,12:30 pm,7,30,RWG,6,0,RWG,G,,AN,4,RBW,G,, -GY,,,, -,,,,0,,
,,,,,,,,,GBY,R,,AB,,RBY,G,, +GY,,,L,,,,,,,
,,,,,,,,,GY,R,,L,,RWY,G,,,,,,,,,,,,
,,,,,,,,,GYR,R,,W/T,,RYR,R,,,,,,,,,,,,
,,,,,,,,,GBW,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,L,,,,,,,,,,,,,,,
,,3/26/16,,8,38,RYW,2,0,RYW,R,,AN/AB,4,RY,R,, -RYW,,,, - ,,,,0,,
,,,,,,,,24,RWY,G,,L/H,,RBR,R,, +RYW,,,,,,,,,,
,,,,,,,,,,,,,,RBY,G,, -RYW,,WEB,,,,,,,,
,,,,,,,,,,,,,,GBY,G,WEB, +RYW,,,L,,,,,,,
,,3/28/16,9:40 am,9,36,RBR,7,0,RBR,R,,L,2,GYB,G,, -RYBl,UP,,, - ,,,,0,,
,,,,,,,,,RR,R,,W/T,,RWY,G,, -RWBl,,,,,,,,,,
,,,,,,,,,GW,G,,AN/H,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,234,RWBl,G,,T,,,,,,,,,,,,,,,
,,,,,,,,317,GWB,R,,H,,,,,,,,,,,,,,,
,,,,,,,,444,GWBl,G,,AB,,,,,,,,,,,,,,,
,,3/29/16,11:20 am,10,12,RYG,5,0,RYG,UP,,AN/H,6,RB,R,, -RY,,WEB,, -,,,,0,,
,,,,,,,,,RYR,G,,L,,GW,G,, +RY,,,W,,,,,,,
,,,,,,,,,RY,R,,L,,RB,R,, -RYR,,,,,,,,,,
,,,,,,,,,GG,R,TP-R,L,,RWY,R,, +RYR,,,H,,,,,,,
,,,,,,,,,GYW,UP,,L,,GYR,R,, -RYG,,,,,,,,,,
,,,,,,,,,,,,,,RWG,UP,, +RYG,,,L,,,,,,,
,,3/30/16,3:30PM,11,4,RYB,8,,RYB,,,H,,,,, -RYB,,,,,,,,0,,
,,,,,,,,,RYG,UP,,,,,,, -GG,,,,,,,,,,
,,,,,,,,,RY,R,,AB,,,,,,,,,,,,,,,
,,,,, ,,,,GG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,L,,,,,,,,,,,,,,,
,,3/31/16,4:15PM,12,46,RBY,3,,RBY,G,TP-G,AN/H/L,4,RBW,G,, -GY,,,,,,,,0,,
,,,,,,,,,RR,R,TP-DOWN,W/T,,RYG,R,, +GY,,,L,,,,,,,
,,,,,,,,,GY,R,,AN,,RY,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GYR,R,,,,,,,,,,,,
,,4/1/16,12:15PM,13,10,GBY,5,,GBY,R,,W/L,2,RBG,R,,,,,,R,,,,2,,
,,,,,,,,,RR,R,,H,,GG,G,,,,,,,,,,,,
,,,,,,,,,RYW,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,TP-R,L,,,,,,,,,,,,,,,
,,4/1/16,3:59PM,14,24,RWBl,6,,RWBl,UP,WEB,L,1,GYR,R,,,,,,,,,,0,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,TP-G,L,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,L,,,,,,,,,,,,,,,
,,4/4/16,10:15AM,15,9,RBR,5,,RBR,UP,,AN,2,RWY,R,, -RBR,,,,,,,,0,,
,,,,,,,,,GG,R,,L,,GWY,R,, -GG,,WEB,,,,,,,,
,,,,,,,,,GYR,G,,H,,,,, +GG,,,H,,,,,,,
,,,,,,,,,GWB,R,,W,,,,, +RBR,,,T,,,,,,,
,,,,,,,,,GBR,R,,L,,,,, -GWB,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, -GYR,,WEB,,,,,,,,
,,4/5/16,,16,15,GY,9,,GY,R,,W,4,GBR,R,, -GBY,,,,,,,,0,,
,,,,,,,,,RYG,R,,L/T,,RWBl,G,, -GY,,,,,,,,,,
,,,,,,,,,RBY,R,,L,,GG,R,, +GY,,,AB,,,,,,,
,,,,,,,,,RY,G,,W,,GYR,G,, -RY,,,,,,,,,,
,,,,,,,,,GYW,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L/H,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,AB,,,,,,,,,,,,,,,
,,4/7/16,11:45AM,17,3,RWY,9,,RWY,UP,,L,,,,, -RWY,,,,,,,,0,,
,,,,,,,,,RBY,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,AB,,,,,,,,,,,,,,,
,,4/13/16,4:00,18,20,GBW,3,,GBW,G,,L,5,RBR,R,, -GBW,,,,R,,,,2,,
,,,,,,,,,RBY,R,TP-R,L,,RY,R,, -GWBl,,,,,,,,,,
,,,,,,,,,GWBl,G,,W,,RYG,UP,, -RBY,,,,,,,,,,
,,,,,,,,,,,,,,GW,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYR,R,,,,,,,,,,,,
,,4/14/16,,19,20,GW,8,,GW,R,WEB,L/T,1,GYW,G,, -GB,,,,R,,653,,4,,
,,,,,,,,,GBY,R,,H,,,,, -GG,,,,,,,,,,
,,,,,,,,,GG,G,,L,,,,, +GG,,,,,,,,,,
,,,,,,,,,RWR,R,TP-R,L,,,,, -GWG,,,,,,,,,,
,,,,,,,,,GWG,R,,L,,,,, -RBY,,,,,,,,,,
,,,,,,,,,RBY,G,,H,,,,, +RBY,,,T,,,,,,,
,,,,,,,,,GYR,G,WEB,AB,,,,, -GYR,,,,,,,,,,
,,,,,,,,,GWBl,R,,AB,,,,, -GWBl,,,,,,,,,,
,,,,,,,,,,,,,,,,, -GW,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GW,,,AB,,,,,,,
,,4/15/16,1:42PM,20,3,RBY,7,,RBY,G,,L,2,RWY,R,, -GYR,,,,,,,,0,,
,,,,,,,,,GBY,TOP,,L,,GWG,G,, -RBY,,WEB,,,,,,,,
,,,,,,,,,GY,R,,H,,,,, +GYR,,,AB,,,,,,,
,,,,,,,,,GBW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,,,L/W,,,,,,,,,,,,,,,
,,,,,,,,,GG,,,T,,,,,,,,,,,,,,,
,,4/16/16,2:26PM,21,26,RBY,5,,RBY,DOWN,,T/AB,2,RWY,R,, -RBY,,,,R,,,,1,,
,,,,,,,,,RWR,UP,TP-UP,H,,GWB,R,WEB, -RWR,,WEB,,,,,,,,
,,,,,,,,,GW,R,TP-R,L/AB,,,,, -GWG,,,,,,,,,,
,,,,,,,,,GWG,G,,L/AB,,,,, -GYW,,,,,,,,,,
,,,,,,,,,GYW,R,,AB,,,,,,,,,,,,,,,
,,4/18/16,2:03PM,22,13,GG,9,,GG,TOP,,T,1,GBW,TOP,WEB, -GYW,,,,,,,,0,,
,,,,,,,,,GYR,R,,AB,,,,, -GYR,,,,,,,,,,
,,,,,,,,,GYW,TOP,,,,,,, -RWR,,,,,,,,,,
