frame ID,TEARTMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks
11,SCSR,2/16/16,12:10 pm,1,,RYB,13,,RYB,R,,LEG,,,,, - RGR,,WEB,,,,,,,
,,,,,,,,,GYB,R,,HEAD/ABDOMEN,,,,, - GYB,,,,,,,,,
,,,,,,,,,RBR,R,,WING,,,,, - GBR,,,,,,,,,
,,,,,,,,,GBR,G,,LEG,,,,, + GBR,,,,,,,,,
,,,,,,,,,RR,R,TP-R,WING,,,,, + RGR,,,,,,,,,
,,,,,,,,,RBl,G,,LEG/ABDOMEN,,,,, - GBR,G,,,,,,,,
,,,,,,,,,RGR,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,TP-R,THORAX,,,,,,,,,,,,,,
,,,,,,,,,RG ,G,,THORAX,,,,,,,,,,,,,,
,,,,,,,,,GRBl,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RGY,G,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RGBl,R,,WING,,,,,,,,,,,,,,
,,2/17/16,3:15 pm,2,472,RGB,1,0,RGB,G,TP-G,LEG,,,,, - RGB,,WEB,,,,,,,
,,,,,,,,,,,,,,,,, + RGB,,,,,,,,,
,,2/18/16,11:15 am,3,30,GY,8,,GY,R,,HEAD,,,,, - RR,,,,,,,,,
,,,,,,,,,RGY,G,TP-Down,LEG,,,,, + RR,,,HEAD,,,,,,
,,,,,,,,,RBR,R,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,ABDOMEN,,,,,,,,,,,,,,
,,2/19/16,13:39 PM,4,1,GY,7,,GY,R,,LEG,,,,, - GRY,,WEB,,,,,,,
,,,,,,,,,RGW,R,,LEG/HEAD,,,,, + GRY,,,ABDOMEN,,,,,,
,,,,,,,,,RBR,R,,LEG/HEAD,,,,, - RGW,,,,,,,,,
,,,,,,,,,GYW,G,,LEG,,,,, + RGW,,,,,,,,,
,,,,,,,,,RG,G,,LEG/HEAD,,,,, - GYW,,,,,,,,,
,,,,,,,,,RW,R,,WING,,,,, + GYW,,,ABDOMEN,,,,,,
,,,,,,,,,GRY,R,,ABDOMEN,,,,,,,,,,,,,,
,,2/20/16,3:50 pm,5,10,GYW,7,,GYW,R,,HEAD,,,,, - RYG,,,,,,,,,
,,,,,,,,,GYR,G,TP-G,LEG/ABDOMEN,,,,, - RGW,,,,,,,,,
,,,,,,,,,RGY,R,,WING,,,,, + RYG,,,,,,,,,
,,,,,,,,,RYR,R,TP-R,ABDOMEN,,,,, + RGW,,,,,,,,,
,,,,,,,,,GR ,R,,LEG,,,,, - RYR,,,,,,,,,
,,,,,,,,,RYG,G,TP-G,LEG,,,,, + RYR,,,,,,,,,
,,,,,,,,,RGW,G,,LEG,,,,, - RGY,,,,,,,,,
,,2/22/16,12:39 pm,6,NO,,,,,,,,,,,,,,,,,,,,,
,,2/23/16,4:02 pm,7,,RYR,8,,RYR,R,,LEG,,,,, - GG,,,,,,,,,
,,,,,,,,,GBl,G,TP-DOWN,LEG,,,,, + GG,,,HEAD,,,,,,
,,,,,,,,,RB,G,,LEG,,,,, - GG,,,,,,,,,
,,,,,,,,,GWR,R,,WING,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,THORAX,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,,,,,,,,,,,,,,,
,,2/25/16,12:15,8,12,GYW,11,,GYW,G,TP-R,LEG,,,,, - GYW,,WEB,,,,,,,
,,,,,,,,,RR,R,,LEG,,,,, - GR,,,,,,,,,
,,,,,,,,,RYB,R,,WIING,,,,, - RW,,WEB,,,,,,,
,,,,,,,,,RB,R,,HEAD,,,,, - RG,,WEB,,,,,,,
,,,,,,,,,RW,R,,ABDOMEN,,,,, - RYBl,,,,,,,,,
,,,,,,,,,GY,G,,WING,,,,, - RYBl,,,,,,,,,
,,,,,,,,,RG,R,WEB,ANTENNA,,,,, - GY,,,,,,,,,
,,,,,,,,,GR,G,,LEG,,,,, + GYW,,,,,,,,,
,,,,,,,,,RYBl,R,,HEAD,,,,, + GR,,,,,,,,,
,,,,,,,,,RYB,R,,HEAD,,,,, + RG,,,,,,,,,
,,,,,,,,,RGY,G,,HEAD,,,,, + RYBl,,,,,,,,,
,,,,,,,,,,,,,,,,, + RYB ,,,,,,,,,
,,,,,,,,,,,,,,,,, + GY ,,,,,,,,,
,,2/26/16,12:10,9,30,GRG,7,0,GRG,R,TP-R,ABDOMEN,,,,, - RYG,,WEB,,,,,,,
,,,,,,,,,GY,R,TP-R,LEG,,,,, ,,,,,,,,,
,,,,,,,,,GR,R,TP-R,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,TP-R,WING,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,THORAX,,,,,,,,,,,,,,
,,,,,,,,,GRBl,G,,THORAX,,,,,,,,,,,,,,
,,2/27/16,11:05 am,10,15,GB,,,GB,R,,LEG,,,,, - RYR,,WEB,,,,,,,
,,,,,,,,,GRBl,R,,HEAD,,,,, + RYR,,,,,,,,,
,,,,,,,,,RG,R,,THORAX,,,,, - RGY,,,,,,,,,
,,,,,,,,,RYR,R,,WING,,,,, - GG,,,,,,,,,
,,,,,,,,,RBR,R,,LEG/ABDOMEN,,,,, - RGW,,WEB,,,,,,,
,,,,,,,,,RGY,G,,WING,,,,, + RGW,,,LEG,,,,,,
,,,,,,,,,UNMARKED,R,,ABDOMEN,,,,, - RYB,,,,,,,,,
,,,,,,,,,RYBl,G,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,GRY,G,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RGW,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RYB ,R,,HEAD/LEG,,,,,,,,,,,,,,
