frame ID,TEARTMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks
14,SCDR,2/8/16,4:02 pm,1,38,RBY,3,0,RBY,G,TP-G,WING,,,,, - GW,G,,,,,,,,
,,,,,,,,,GW,G,,,,,,,,,,,,,,,,
,,,,,,,,,RW,R,TP-R,,,,,,,,,,,,,,,
,,2/9/16,4:22 pm,2,24,GBW,3,0,GBW,G,TP-G,LEG,,,,, - RWB,,,,R,,,,1,
,,,,,,,,,GYW,R,TP-R,HEAD,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,LEG,,,,,,,,,,,,,,
,,2/10/16,2:50 pm,3,4,GB,8,0,GBW,G,TP-UP,LEG,,,,, - RWB,,,,,,,,,
,,,,,,,,,RBW,G,TP-G,HEAD,,,,, + RWB,,,,,,,,,
,,,,,,,,,RBG,G,,LEG,,,,, - RWR,G,,,,,,,,
,,,,,,,,,RWB,R,TP-R,THORAX/WING,,,,, + RWR,,,,,,,,,
,,,,,,,,,RW,R,,WING,,,,, - RBW,,,,,,,,,
,,,,,,,,,RWR,G,,ABDOMEN,,,,, + RBW,,,,,,,,,
,,,,,,,,,RYBl,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,LEG,,,,,,,,,,,,,,
,,2/11/16,12:05 pm,4,15,RYG,6,,RYG,R,TP-R,WING,,,,, - GWY,G,,,,,,,,
,,,,,,,,,GWY,G,TP-G,LEG,,,,, - GW,,,,,,,,,
,,,,,,,,,RWB,R,TP-R,ANTENNA,,,,, + GW,,,LEG,,,,,,
,,,,,,,,,GBG,R,,ANTENNA/HEAD,,,,, + GWY,,,HEAD,,,,,,
,,,,,,,,,RYBl,R,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,ABDOMEN,,,,,,,,,,,,,,
,,2/13/16,2:48 pm,5,,RWY,7,,RWY,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RYB ,G,,WING/ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RR ,G,,THORAX ,,,,,,,,,,,,,,
,,2/15/16,2:00 pm,6,18,GYBl,7,,GYBl,G,TP-UP,LEG/HEAD,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,TP-R,HEAD/THORAX,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,LEG/ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,WING,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,HEAD/THORAX,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,HEAD ,,,,,,,,,,,,,,
,,2/16/16,2:30 pm,7,10,GYR,,,GYR,G,TP-R,WING,,,,, - GB,,,,,,,,,
,,,,,,,,,RYG,G,,WING,,,,, - RYG,,WEB,,,,,,,
,,,,,,,,,GB,R,,ANTENNA,,,,, + RYG,,,LEG/ABDOMEN,,,,,,
,,,,,,,,,RWY,G,,WING,,,,,,,,,,,,,,
,,2/17/16,5:32 pm,8,,GYB,2,,GYB ,G,TP-G,HEAD,,,,,,,,,G,,,,2,
,,,,,,,,,RG,R,TP-DOWN,LEG/ABDOMEN,,,,,,,,,,,,,,
,,2/19/16,2:55 pm,9,15,GYW,1,,GYW,G,TP-G/WEB,LEG,,,,,,,,,,,,,,
,,2/20/16,2:03 pm,10,9,GWBl,5,,GWBl,G,TP-UP,THORAX,,,,, - GBG,,WEB,,,,,,,
,,,,,,,,,GYBl,R,,LEG,,,,, - GYBl,,,,,,,,,
,,,,,,,,,UNMARKED,G,,ABDOMEN,,,,, - RB,,,,,,,,,
,,,,,,,,,GBG,,,LEG,,,,, - UNMARKED,,,,,,,,,
,,,,,,,,,RB,G,,HEAD,,,,, + RB,,,,,,,,,
,,2/22/16,2:23 pm,11,17,GYB,7,0,GYB,G,,,,,,,,,,,,,,,,
,,,,,,,,6,RBW,G,,,,,,,,,,,,,,,,
,,,,,,,,12,GYW,G,,,,,,,,,,,,,,,,
,,,,,,,,13,GG,G,,,,,,,,,,,,,,,,
,,,,,,,,24,RG,G,,,,,,,,,,,,,,,,
,,,,,,,,27,RWR,R,,,,,,,,,,,,,,,,
,,,,,,,,32,RYBl,R,,,,,,,,,,,,,,,,
,,2/23/16,3:36 pm,12,,RBG,11,0,RBG,G,LEG,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,WING,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,HEAD,,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,ABDOMEN,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,ABDOMEN,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,HEAD,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,THORAX,,,,,,,,,,,,,,,
,,,,,,,,,RYW,,THORAX,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,WING,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,HEAD,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,ABDOMEN,,,,,,,,,,,,,,,
,,2/25/16,3:05 pm,13,22,GBG,7,0,GBG,G,ABDOMEN,,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,HEAD,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,ABDOMEN,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,HEAD,,,,,,,,,,,,,,,
,,,,,,,,,G,R,LEG,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,ABDOMEN,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,ABDOMEN,,,,,,,,,,,,,,,
,,2/26/16,4:40 pm,14,,UNMARKED,,,UNMARKED,R,LEG,,,,,, - GBG,,,,,,,,,
,,,,,,,,,RBG,R,LEG,,,,,, - GWBl,,,,,,,,,
,,,,,,,,,RY,G,WING,,,,,, - RG,,,,,,,,,
,,,,,,,,,RYG,R,HEAD,,,,,, + GBG,,,ABDOMEN,,,,,,
,,,,,,,,,GBG,G,LEG,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,LEG,,,,,,,,,,,,,,,
