frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
15,SCSR,2/4/16,7:15 PM,1,60,RYW,7,0,RYW,G,,AN,,,,, -RR,G,,,,,,,0,,
,,,,,,,,,GYBl,G,,W,,,,, +RR,,,W,,,,,,,
,,,,,,,,,GG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,W,,,,,,,,,,,,,,,
15,SCSR,2/5/16,3:55 PM,2,20,GB,15,0,GB,R,,AB/L,,,,,,,,,,,,,0,,
,,,,,,,,,RBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWB,G,,,,,,,,,,,,,,,,,
15,SCSR,2/8/16,4:44 PM,3,12,RG,21,0,RG,R,,AB,,,,,,,,,,,,,0,,
,,,,,,,,,RR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,,,,,,,,,,,,,,,,
,,,,,,,,,GWR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,L/W,,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,,,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,,,,,,,,,,,,,,,,,,
,,,,,,,,,GY,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,,,,,,,,,,,,,,,,,,
15,SCSR,2/9/16,4:50 PM,4,340,GB,7,0,GB,G,TP,L,,,,, -GYB,G,,,G,,,NA,1,,
,,,,,,,,,GYB,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYW,G,,L,,,,,,,,,,,,,,,
15,SCSR,2/10/16,3:25 PM,5,6,GBl,10,0,GBl,R,,L,,,,, -GR,,,,,,,,0,,
,,,,,,,,,RBY,G,,W,,,,, +GR,,,,,,,,,,
,,,,,,,,,GR,G,,L,,,,, -GY,,WEB,,,,,,,,
,,,,,,,,,GWG,R,,L,,,,, -RR,,,,,,,,,,
,,,,,,,,,RYR,R,,AN,,,,, +RR ,,,,,,,,,,
,,,,,,,,,RR,G,,L,,,,, +GY,,,,,,,,,,
,,,,,,,,,RW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RY,,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,AB,,,,,,,,,,,,,,,
15,SCSR,2/11/16,12:30 PM,6,8,RBR,15,0,RBR,R,TP-DOWN,AB,,,,, -RBl,,,,,,,,0,,
,,,,,,,,,RYB,R,,AB,,,,, +RBl,,,T,,,,,,,
,,,,,,,,,GY,G,,L,,,,, -GWY,,WEB,,,,,,,,
,,,,,,,,,RR,R,,L,,,,, +GWY,,,AB,,,,,,,
,,,,,,,,,GBl,G,,L,,,,, -RBG,,,,,,,,,,
,,,,,,,,,GWR,R,,AB,,,,, -GB,,,,,,,,,,
,,,,,,,,,RYW,,,W,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBl,,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWB,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GB,,,?,,,,,,,,,,,,,,,
15,SCSR,2/13/16,10.20 AM,7,12,RW,15,0,RW,R,,H,3,GYBl,R,, -RW,R,,,,,,,0,,
,,,,,,,,,GYG,G,,L,,RG,G,, -GYG ,,,,,,,,,,
,,,,,,,,,GBW,R,,AB,,RBG,G,, +GYG,,,,,,,,,,
,,,,,,,,,GY,G,,L,,,,, -GBW,,,,,,,,,,
,,,,,,,,,RWB,R,,AB,,,,, +GBW,,,H,,,,,,,
,,,,,,,,,GW,R,,,,,,, -RYBl,,WEB,,,,,,,,
,,,,,,,,,RYBl,G,,AB,,,,, -GYR,,,,,,,,,,
,,,,,,,,,RBl,R,,H,,,,, +GYR,,,T,,,,,,,
,,,,,,,,,UNMARKED,,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,,,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,H,,,,,,,,,,,,,,,
15,SCSR,2/15/16,2:20 PM,8,180,RG,7,0,RG,G,,L,11,GG,R,, -RG,,WEB,,,,,,0,,
,,,,,,,,,RWB,G,,L,,GYW,R,, -GYG,,,,,,,,,,
,,,,,,,,,GYG,R,TP-G,L,,GWB,G,, +GYG,,TP-G,W,,,,,,,
,,,,,,,,,RBG,R,,L,,GYBl,G,, -RWB,,WEB,,,,,,,,
,,,,,,,,,GBW,R,TP-G,W,,GY,G,, +RWB,,,AB,,,,,,,
,,,,,,,,,GWY,G,TP-G,H,,UNMARKED,G,, -GBW,UP,,,,,,,,,
,,,,,,,,,GR,G,,L,,GB,R,, +GBW,,,H,,,,,,,
,,,,,,,,,,,,,,RW,R,, -GYG,UP,,,,,,,,,
,,,,,,,,,,,,,,RYB,R,, +GYG,,,W,,,,,,,
,,,,,,,,,,,,,,RR,G,, -GBW,,WEB,,,,,,,,
,,,,,,,,,,,,,,RB ,R,, -RBG,,WEB,,,,,,,,
15,SCSR,2/16/16,3:10 PM,9,8,RBR,7,0,RBR,G,,W/T,7,GYB,G,, -RBG,,,,,,,,0,,
,,,,,,,,,GB,G,,W,,RY,G,,,,,,,,,,,,
,,,,,,,,,GBG,R,,L,,GYG,R,,,,,,,,,,,,
,,,,,,,,,RWG,G,,L,,GBl,R,,,,,,,,,,,,
,,,,,,,,,RG,G,,L,,RW,R,,,,,,,,,,,,
,,,,,,,,,RBG,R,,,,GYW,R,,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB,,GWY,R,,,,,,,,,,,,
15,SCSR,2/17/16,4:45 PM,10,23,GYW,11,0,GYW,G,,W,3,GWR,G,, -GWY,,,,,,,,0,,
,,,,,,,,,GYB,G,,AN,,RR,R,, +GWY,,,,,,,,,,
,,,,,,,,,GYG,R,,L,,GR,R,,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWB,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWY,?,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,,,,,,,,,,,,,,
15,SCSR,2/18/16,12:45 PM,11,160,GW,5,0,GW,G,,L,5,GBG,G,, -RR,,WEB,,,,,,0,,
,,,,,,,,,RR,G,WEB,L/H/W,,GR,R,, -GYG,,,,,,,,,,
,,,,,,,,,RY,R,,L,,RWBl,R,WEB, -GW,,,,,,,,,,
,,,,,,,,,GYG,R,WEB,AB,,RBR,G,, +GW,,WEB,,,,,,,,
,,,,,,,,,RYW,G,,L,,GWBl,G,,,,,,,,,,,,
15,SCSR,2/19/16,3:10 PM,12,88,RBl,4,0,RBl,G,,W,3,RBR,R,, -GYG,,,,G,,,NA,1,,
,,,,,,,,,RY,G,,H,,GW,R,, +GYG,,,,,,,,,,
,,,,,,,,,GYG,R,,W,,GWR,R,,,,,,,,,,,,
,,,,,,,,,GYB,G,,W,,,,,,,,,,,,,,,
15,SCSR,2/20/16,1:45 PM,13,18,GY,13,0,GY,G,,L,4,RBR,R,,,,,,,,,,0,,
