frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
7,DC,3/15/16,12:00 PM,1,26,RR,4,0,RR,R,TP-R,AN,1,RB,R,, -RR,,WEB,, - ,,,,0,,
,,,,,,,,,GYG,G,,W,,,,, -GW,,,,,,,,,,
,,,,,,,,,GBY,G,TP-G,W,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,WEB,H,,,,,,,,,,,,,,,
7,DC,3/16/16,2:38 PM,2,157,RYW,1,0,RYW,R,,W,1,RYR,G,, -RYW,,WEB,, - ,,,,0,,
,,,,,,,,,,,,,,,,, +RYW,,TP-R,,,,,,,,
7,DC,3/21/16,4:05 PM,3,20,GBW,7,0,GBW,R,,AB,2,GW,R,, -GG,,,, -,,,,0,,
,,,,,,,,,RBY,G,,W,,RBl,R,, +GG,,,,,,,,,,
,,,,,,,,,RWY,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RB ,R,,AB/H,,,,,,,,,,,,,,,
,,,,,,,,,GY ,R,,AB,,,,,,,,,,,,,,,
7,DC,3/22/16,3:35 PM,4,12,RBY,7,0,RBY,R,,W,4,RYW,R,, -RBY,,,, -,,,,0,,
,,,,,,,,,RWY,G,,L,,RB,G,, -RWY,,,,,,,,,,
,,,,,,,,,RR,R,,L,,RYG,G,, -GBY,,,,,,,,,,
,,,,,,,,,GBY,R,,L,,GYR,G,, -RBl,R,,,,,,,,,
,,,,,,,,,RYR,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,W,,,,,,,,,,,,,,,
7,DC,3/23/16,10:51 AM,5,23,GYR,8,0,GYR,R,,L,2,RBY,R,, -GYR,,,, - ,,,,0,,
,,,,,,,,,RWY,G,,AB,,GY,G,, -RWY,,,,,,,,,,
,,,,,,,,,RBW,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,,,,,,,,,,,,
7,DC,3/24/16,2:50 PM,6,20,GBY,5,0,GBY,R,,H,3,RBW,G,, -GYW,G,,, - ,,,,0,,
,,,,,,,,,RWBl,G,,H/T,,GY,R,, -RYW,,,,,,,,,,
,,,,,,,,,GWB,R,,AB,,RBR,R,, +GYW,,,,,,,,,,
,,,,,,,,,RYW,G,TP-G,AB/W,,,,, +RYW,,,,,,,,,,
,,,,,,,,,GYW,G,,W,,,,,,,,,,,,,,,
7,DC,3/25/16,12:30 PM,7,30,RWG,6,0,RWG,G,,AN,4,RBW,G,, -GY,,,, -,,,,0,,
,,,,,,,,,GBY,R,,AB,,RBY,G,, +GY,,,L,,,,,,,
,,,,,,,,,GY,R,,L,,RWY,G,,,,,,,,,,,,
,,,,,,,,,GYR,R,,W/T,,RYR,R,,,,,,,,,,,,
,,,,,,,,,GBW,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,L,,,,,,,,,,,,,,,
7,DC,3/26/16,,8,38,RYW,2,0,RYW,R,,AN/AB,4,RY,R,, -RYW,,,, - ,,,,0,,
,,,,,,,,24,RWY,G,,L/H,,RBR,R,, +RYW,,,,,,,,,,
,,,,,,,,,,,,,,RBY,G,, -RYW,,WEB,,,,,,,,
,,,,,,,,,,,,,,GBY,G,WEB, +RYW,,,L,,,,,,,
7,DC,3/28/16,9:40 AM,9,36,RBR,7,0,RBR,R,,L,2,GYB,G,, -RYBl,UP,,, - ,,,,0,,
,,,,,,,,,RR,R,,W/T,,RWY,G,, -RWBl,,,,,,,,,,
,,,,,,,,,GW,G,,AN/H,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,234,RWBl,G,,T,,,,,,,,,,,,,,,
,,,,,,,,317,GWB,R,,H,,,,,,,,,,,,,,,
,,,,,,,,444,GWBl,G,,AB,,,,,,,,,,,,,,,
7,DC,3/29/16,11:20 AM,10,12,RYG,5,0,RYG,UP,,AN/H,5,RB,R,, -RY,,WEB,, -,,,,0,,
,,,,,,,,,RYR,G,,L,,GW,G,, +RY,,,W,,,,,,,
,,,,,,,,,RY,R,,L,,RWY,R,, -RYR,,,,,,,,,,
,,,,,,,,,GG,R,TP-R,L,,GYR,R,, +RYR,,,H,,,,,,,
,,,,,,,,,GYW,UP,,L,,RWG,UP,, -RYG,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RYG,,,L,,,,,,,
7,DC,3/30/16,3:30PM,11,4,RYB,8,,RYB,,,H,0,,,, -RYB,,,,,,,,0,,
,,,,,,,,,RYG,UP,,,,,,, -GG,,,,,,,,,,
,,,,,,,,,RY,R,,AB,,,,,,,,,,,,,,,
,,,,, ,,,,GG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,L,,,,,,,,,,,,,,,
7,DC,3/31/16,4:15PM,12,46,RBY,3,,RBY,G,TP-G,AN/H/L,4,RBW,G,, -GY,,,,,,,,0,,
,,,,,,,,,RR,R,TP-DOWN,W/T,,RYG,R,, +GY,,,L,,,,,,,
,,,,,,,,,GY,R,,AN,,RY,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GYR,R,,,,,,,,,,,,
7,DC,4/1/16,12:15PM,13,10,GBY,5,,GBY,R,,W/L,2,RBG,R,,,,,,R,,,,2,,
,,,,,,,,,RR,R,,H,,GG,G,,,,,,,,,,,,
,,,,,,,,,RYW,G,,L,,,,,,,,,,,,,,,
