frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
6,DC,3/8/16,12:30PM,1,2,RWY,7,0,RWY,UP,,W,3,RYR,R,, -RWY,,,,,,,,0,,
,,,,,,,,,RBG,UP,,H,,RB,R,, +RWY,,,AB,,,,,,,
,,,,,,,,,GWY,G,,W,,GBW,R,,,,,,,,,,,,
,,,,,,,,,GWR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBR,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,T,,,,,,,,,,,,,,,
6,DC,3/9/16,5:00PM,2,7,RWB,11,0,RWB,G,,L,4,GYBl,UP,, -GWY,,,,,,,,0,,
,,,,,,,,,GWB,R,,W,,GYB,G,, +GWY,,,T,,,,,,,
,,,,,,,,,GWG,UP,,L,,RWY,G,, -GWB,,,,,,,,,,
,,,,,,,,,GBG,UP,,W,,GY,R,,,,,,,,,,,,
,,,,,,,,,RW,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RB,UP,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBW,,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBR,UP,,AB,,,,,,,,,,,,,,,
6,DC,3/10/16,11:30AM,3,2,RBl,14,0,RBl,UP,,,4,RR,UP,, -GWR,,WEB,,,,,,0,,
,,,,,,,,,GWG,UP,,,,RYW,R,, +GWR,,,H,,,,,,,
,,,,,,,,,RBR,UP,,AB,,RBG,,,,,,,,,,,,,
