frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
25,DC,4/14/16,3:00 PM,1,5,GBR,6,0,GBR,R,TP-R,H,3,RWG,R,, -GBR,,,,R,,282,NA,4,,
,,,,,,,,,RB,R,,T,,,,, -RYG,,,,,,,,,,
,,,,,,,,,RYG,G,,L,,GBl,G,, -RYG,,,,,,,,,,
,,,,,,,,,RYB,G,,L/T,,,,,  -RYB,,,,,,,,,,
,,,,,,,,,RWR,R,,AB,,,,, -RWY,,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,,,,,,,,,,,,
25,DC,4/15/16,11:50 AM,2,6,RWR,3,0,RWR,R,TP-R,T/AB,3,RB,R,, -RR,,,,R,,,NA,1,,
,,,,,,,,,RR,R,,L,,GWY,R,, +RR,,,T,,,,,,,
,,,,,,,,,RYG,G,TP-G,L/H,,RWG,G,,,,,,,,,,,,
25,DC,4/18/16,4:03 PM,3,6,RG,6,0,RG,TOP,,L,4,GB,R,WEB,,,,,,,,,0,,
,,,,,,,,,RWG,G,,H,,RBl,G,,,,,,,,,,,,
,,,,,,,,,RW,G,,T,,RYG,G,,,,,,,,,,,,
,,,,,,,,,RBW,R,TP-R,T,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,TP-G,H,,,,,,,,,,,,,,,
25,DC,4/19/16,2:10 PM,4,6,GBR,3,0,GBR,TOP,,L/AB,2,RB,G,, -RWBl,,,,R,,,NA,2,,
,,,,,,,,,RWBl,TOP,,H,,RR,G,, +RWBl,,,T,,,,,,,
,,,,,,,,,RYG,R,TP-R,L/T,,,,, -GBR,,WEB,,,,,,,,
25,DC,4/21/16,12:17 PM,5,2,R,7,0,R_,TOP,,,0,,,, -RWR,,,,,,,,0,,
,,,,,,,,,RWR,R,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,,TP-R,AB,,,,,,,,,,,,, ,,
,,,,,,,,,RG,G,,AN,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,W,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,TP-G,T,,,,,,,,,,,,,,,
25,DC,4/21/16,2:16 PM,6,41,RYB,6,0,RYB,TOP,,W,2,GWG,G,, -RWY,,,,,,,,0,,
,,,,,,,,,RWBl,G,,T,,GYG,G,, -RWBl,,,WEB,,,,,,,
,,,,,,,,,GBR,G,,H,,,,, -GWY,R,,,,,,,,,
,,,,,,,,,RR,G,,H/AN,,,,, -RR,G,,,,,,,,,
,,,,,,,,,RWY,G,,,,,,, -RWY,,,,,,,,,,
,,,,,,,,,GWY,R,,L,,,,, +RWY,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, +RR,,,H,,,,,,,
25,DC,21/4/2016,3:23 PM,7,5,R,6,0,R_,R,WEB,W/L/AB,5,GWY,R,WEB, -RWBl,,WEB,,,,,,0,,
,,,,,,,,,RWBl,G,,W,,GY,R,, -GBR,,,,,,,,,,
,,,,,,,,,RWR,G,,W/L,,GYBl,R,, +GBR,,,T,,,,,,,
,,,,,,,,,GBR,G,,W/T,,RR,G,, -RWR,,WEB,,,,,,,,
,,,,,,,,,RYB,R,TP-R,AB/W/T,,GBW,G,, -R,,WEB,,,,,,,,
,,,,,,,,,RG,G,,W/T,,,,, -GBR,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GBR,,TP-G,AB,,,,,,,
,,,,,,,,,,,,,,,,, +RWR,,,L,,,,,,,
25,DC,4/22/16,1:57 PM,8,9,RWY,7,0,RWY,R,,AB,3,GYR,R,, -GWY,,,,,,,,0,,
,,,,,,,,,RYB,G,,T,,RBW,G,, +GWY,,,H,,,,,,,
