frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
16,DC,2/9/16,10:06 AM,1,8,RY,12,0,RY,R,,W,3,GBl,G,,,,,,,,,,0,,
,,,,,,,,,RBR,R,,L,,UNMARKED,R,,,,,,,,,,,,
,,,,,,,,,GW,G,TP,W,,UNMRAKED,G,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RW,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,TP-G,,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,,,,,,,,,,,,,,,,
16,DC,2/10/16,10:49 AM,2,3,RWB,9,0,RWB,R,,L,,,,,,,,,,,,,0,,
,,,,,,,,,RY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RW,R,TP-R,H/W/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,H/T,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,,,,,,,,,,,,,,,,
16,DC,2/11/16,2:00 PM,3,10,GWB,7,0,GWB,R,,T,,,,, -RBY,,,,UP,240,,NA,2,,
,,,,,,,,,RY,R,TP-R,W,,,,, -RWB,,,,,,,,,,
,,,,,,,,,RBl,G,,AB,,,,, -GWB,R,,,,,,,,,
,,,,,,,,,RB,R,,L,,,,, -RB,,,,,,,,,,
,,,,,,,,,RYR,R,TP-R,W,,,,, -RBY,,,,,,,,,,
,,,,,,,,,RWB,G,,W,,,,, +RBY,,,W,,,,,,,
,,,,,,,,,RBY,R,,W,,,,, -RBl,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RBl,,,H,,,,,,,
