frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,0,RBY,G,,L,,,,, -RBY,,WEB,,,,,,,,
,,,,,,,,0,RG,R,,T,,,,, -RBl,,,,,,,,,,
,,,,,,,,0,GR,G,,H,,,,, +RBl,,,AB,,,,,,,
,,,,,,,,21,GB,R,,AB,,,,, -RR,,WEB,,,,,,,,
,,,,,,,,21,RR,R,,AB,,,,, +RW,,WEB,AB,,,,,,,
,,,,,,,,21,RW,R,,L,,,,, -RBl,,,,,,,,,,
,,,,,,,,21,RYG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,150,RBl,R,,AB,,,,,,,,,,,,,,,
26,SCSR,4/22/16,4:10 PM,10,15,RR,10,0,RR,R,,L/AB,2,RG,R,, -RBY,R,,,,,,,0,,
,,,,,,,,0,RBl,R,WEB,AB,,GYR,G,, -RBW,R,,,,,,,,,
,,,,,,,,0,RW,R,,W/T,,,,, -GR,,,,,,,,,,
,,,,,,,,1,RYG,R,,L/AB,,,,, +GR,,,AB,,,,,,,
,,,,,,,,1,GR,R,,L,,,,, -GB,R,,,,,,,,,
,,,,,,,,3,GW,R,,H,,,,, +GB,,,,,,,,,,
,,,,,,,,3,RBW,R,,T/H,,,,,,,,,,,,,,,
,,,,,,,,5,RBY,R,,,,,,,,,,,,,,,,,
,,,,,,,,188,GBl,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,AB,,,,,,,,,,,,,,,
26,SCSR,4/23/16,12:35 PM,11,71,RG,3,0,RG,G,,L,0,,,, -RG,G,,,R,169,,NA,2,,
,,,,,,,,1,RBl,R,,W,,,,, -RW,,,,,,,,,,
,,,,,,,,6,RW,R,,W/H,,,,, +RW,,,T,,,,,,,
,,,,,,,,,,,,,,,,, -RBl,,,,,,,,,,
,,,,,,,,,,,,,,,,, -RW,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RW,,TP-R,L,,,,,,,
,,,,,,,,,,,,,,,,, +RBl,,TP-R,AB,,,,,,,
26,SCSR,4/23/16,2:00 PM,12,24,GBG,8,0,GBG,R,,W,3,GG,G,, -RW,,,,,,,,0,,
,,,,,,,,0,GYR,R,,L,,,,, -RYR,,,,,,,,,,
,,,,,,,,0,RBl,R,,AB,,GWBl,G,, -GR,,,,,,,,,,
,,,,,,,,1,RW,R,,AN,,,,, -RYG,,,,,,,,,,
,,,,,,,,1,RG,G,,T,,,,, +RW,,,T,,,,,,,
,,,,,,,,1,RYR,G,,AN,,,,, -RW,,,,,,,,,,
,,,,,,,,85,GR,R,,H,,,,, +RYR,,,,,,,,,,
,,,,,,,,96,RYG,R,,,,,,,,,,,,,,,,,
26,SCSR,4/23/16,2:30 PM,13,21,GYR,7,0,GYR,R,TP-R,L,3,GR,R,, -RYG,,WEB,,,,,,0,,
,,,,,,,,0,RW,R,TP-R,H,,RBl,R,, -RBW,,,,,,,,,,
,,,,,,,,0,RG,R,,T,,RY,G,, +RYG,,,AB,,,,,,,
,,,,,,,,1,GBl,G,,T,,,,, -GYR,R,,,,,,,,,
,,,,,,,,1,GBG,R,,H,,,,, -RYG,G,WEB,,,,,,,,
,,,,,,,,1,RYG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,1,RBW,R,,AB,,,,,,,,,,,,,,,
26,SCSR,4/23/16,3:30 PM,14,7,RG,6,0,RG,R,WEB/TP-R,AN,3,RYG,G,WEB, -GYR,,,,R,,,NA,1,,
,,,,,,,,0,GYR,R,,L,,GB,R,, -RBG,R,,,,,,,,,
,,,,,,,,0,GR,R,WEB,AN/T/AB,,GG,R,, -RBW,,,,,,,,,,
,,,,,,,,0,RBW,R,TP-R,L,,,,, +RBW,,,H,,,,,,,
,,,,,,,,113,RBG,R,,T,,,,, +GYR,,,H,,,,,,,
,,,,,,,,,GBG,R,TP-TOP,AN/AB,,,,, +RBW,,TP-R,T,,,,,,,
,,,,,,,,,,,,,,,,, -RG,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, -GYR,,,,,,,,,,
,,,,,,,,,,,,,,,,, -GR,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GR,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, +GYR,,,AB,,,,,,,
26,SCSR,4/23/16,4:00 PM,15,13,GR,8,0,GR,R,,W/T,1,GYR,G,, -RBW,,,,R,,,,3,,
,,,,,,,,3,RBl,R,,L,,,,, -RBG,,,,,,,,,,
,,,,,,,,3,GBl,R,,L,,,,, -GBl,,,,,,,,,,
,,,,,,,,4,RYG,R,,AB,,,,, -RBl,,,,,,,,,,
,,,,,,,,4,GBG,R,TP-R,AB,,,,, +RBl,,,L,,,,,,,
,,,,,,,,5,RBG,R,,T,,,,, +RBG,,,T,,,,,,,
,,,,,,,,5,RG,R,,T,,,,, -RBl,,,,,,,,,,
,,,,,,,,,RBW,R,,AB,,,,, -GR,,,,,,,,,,
,,,,,,,,,,,,,,,,, -RG,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GR,,,T,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
