frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
3,SCDR,3/8/16,11:15 am,1,45,RBR,5,0,RBR,G,WEB,H,5,RWG,R,, -RW,UP,,, - ,,,,0,
,,,,,,,,,RWY,G,,W,,GWG,R,, +RW,,,AB,,,,,,
,,,,,,,,,RW,R,,W,,RYW,R,,,,,,,,,,,
,,,,,,,,,RWBl,G,,AB,,RBY,R,,,,,,,,,,,
,,,,,,,,,GBl,G,,T,,GB,G,,,,,,,,,,,
,,3/9/16,3:40 pm,2,12,GYW,10,0,GYW,UP,,L/AB,4,GW ,R,, -GBG,,,,,,,,0,
,,,,,,,,,GBG,UP,,H,,RBl,UP,, -GYW,,,,,,,,,
,,,,,,,,,RY,R,,W,,GYBl,G,, +GBG,,,AB,,,,,,
,,,,,,,,,RYB,G,TP-G,L ,,RYW,R,, +GYW,,,AB,,,,,,
,,,,,,,,,GBY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GYR,UP,,H,,,,,,,,,,,,,,
,,,,,,,,,RB,UP,,H,,,,,,,,,,,,,,
,,,,,,,,,GYB,,,T,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RYG,UP,,AB,,,,,,,,,,,,,,
,,3/10/16,10:20 am,3,16,RW,13,0,RW,UP,,W,7,GYG,,, -GY,,,, - ,,,,0,
,,,,,,,,,GB,UP,,,,RBR,R,, -RWB,,WEB,,,,,,,
,,,,,,,,,RBW,G,,L,,RYBl,R,, -GR,,,,,,,,,
,,,,,,,,,GY,R,,W,,RWR,R,, -RBG,,,,,,,,,
,,,,,,,,,RWB,R,,W,,RWG,R,, -RW,,,,,,,,,
,,,,,,,,,GR,UP,,T,,GBl,G,,,,,,,,,,,
,,,,,,,,,GWB,UP,,AB,,RB ,G,,,,,,,,,,,
,,,,,,,,,RBG,R,,H,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYW,,,T,,,,,,,,,,,,,,
,,,,,,,,,GYW,UP,,AB,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,T,,,,,,,,,,,,,,
,,,,,,,,,RBY,,,H,,,,,,,,,,,,,,
,,3/12/16,6:05 pm,4,164,GYG,4,0,GYG,G,,W,0,,,,,,,, -,,,,0,
,,,,,,,,,RWR,G,TP-G,W/AB,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,TP-UP,AN/H,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,TP-UP,T,,,,,,,,,,,,,,
,,3/13/16,10:50 am,5,3,GBl,11,,GBl,UP,,L,4,RR,R,,,,,, - ,,,,0,
,,,,,,,,,GYR,UP,,AB,,RWY,R,,,,,,,,,,,
,,,,,,,,,GY,R,,H,,GBl,UP,,,,,,,,,,,
,,,,,,,,,GWBl,,,,,RYG,R,,,,,,,,,,,
