,D0: Trial,D1: Comers
0,1.0,3
1,1.0,23
2,2.0,11
3,2.0,5
4,2.0,2
5,3.0,8
6,3.0,22
7,4.0,16
8,5.0,28
9,5.0,2
10,5.0,3
11,6.0,24
12,6.0,30
13,6.0,20
14,6.0,25
15,7.0,14
16,7.0,13
17,8.0,10
18,8.0,13
19,9.0,25
20,9.0,32
21,9.0,27
22,9.0,1
23,9.0,30
24,10.0,30
25,10.0,25
26,10.0,37
27,10.0,34
28,10.0,4
29,11.0,18
30,11.0,8
31,13.0,35
32,13.0,8
33,14.0,32
34,15.0,30
35,15.0,37
36,15.0,16
37,16.0,1
38,16.0,30
39,16.0,11
40,16.0,26
41,16.0,36
42,16.0,24
43,17.0,32
44,18.0,33
45,18.0,-1
46,19.0,40
47,19.0,27
48,19.0,8
49,20.0,4
50,21.0,38
51,23.0,37
52,23.0,-1
53,24.0,26
54,24.0,37
55,25.0,-1
56,25.0,36
57,25.0,37
