,D0: Trial,D1: Comers
0,5.0,12
1,5.0,7
2,5.0,14
3,5.0,26
4,6.0,28
5,6.0,25
6,6.0,5
7,6.0,30
8,6.0,23
9,6.0,32
10,7.0,39
11,7.0,6
12,7.0,28
13,7.0,17
14,7.0,11
15,8.0,17
16,8.0,39
17,8.0,11
18,8.0,17
19,8.0,9
20,8.0,34
21,8.0,26
22,9.0,10
23,9.0,2
24,9.0,15
25,9.0,13
26,9.0,11
27,9.0,10
28,9.0,35
29,10.0,33
30,10.0,7
31,10.0,39
32,10.0,1
33,10.0,26
34,10.0,-1
35,10.0,31
36,11.0,31
37,11.0,35
38,11.0,28
39,11.0,29
40,11.0,32
41,11.0,12
42,12.0,28
43,12.0,33
44,13.0,15
45,13.0,26
46,13.0,40
47,13.0,3
48,13.0,18
49,14.0,20
50,14.0,24
51,14.0,13
52,14.0,39
53,15.0,33
54,15.0,28
55,16.0,8
56,16.0,12
57,16.0,11
58,16.0,33
59,17.0,16
60,17.0,10
61,17.0,18
62,17.0,33
63,18.0,9
64,18.0,12
65,18.0,28
66,20.0,13
67,20.0,28
68,20.0,10
69,21.0,26
70,21.0,8
71,21.0,2
72,22.0,19
73,22.0,21
74,22.0,40
75,22.0,36
76,22.0,13
77,22.0,2
78,22.0,6
79,22.0,16
80,24.0,16
81,24.0,6
82,24.0,10
83,24.0,24
