,D0: Trial,D1: Comers
0,1.0,21
1,1.0,35
2,1.0,6
3,1.0,37
4,1.0,32
5,1.0,22
6,2.0,19
7,2.0,40
8,2.0,37
9,3.0,17
10,3.0,40
11,3.0,30
12,3.0,7
13,3.0,9
14,3.0,4
15,3.0,5
16,4.0,37
17,4.0,7
18,4.0,19
19,4.0,11
20,4.0,10
21,4.0,21
22,4.0,22
23,4.0,38
24,4.0,39
25,4.0,25
26,6.0,2
27,6.0,28
28,6.0,22
29,6.0,17
30,9.0,18
31,9.0,37
32,9.0,21
33,10.0,36
34,10.0,30
35,10.0,21
36,10.0,18
37,11.0,5
38,13.0,21
39,14.0,2
40,15.0,11
41,15.0,12
42,16.0,4
43,17.0,40
44,19.0,9
45,20.0,26
46,21.0,9
47,22.0,-1
48,23.0,40
