,D0: Trial,D1: Comers
0,1.0,6
1,2.0,29
2,3.0,16
3,3.0,25
4,3.0,28
5,3.0,34
6,3.0,5
7,3.0,37
8,3.0,32
9,3.0,23
10,3.0,33
11,3.0,12
12,3.0,1
13,4.0,25
14,4.0,5
15,5.0,12
16,5.0,18
17,5.0,9
18,5.0,35
19,5.0,23
20,5.0,34
21,5.0,29
22,5.0,6
23,6.0,40
24,6.0,35
25,7.0,31
26,7.0,40
27,8.0,32
28,8.0,12
29,8.0,24
30,8.0,3
31,8.0,28
32,9.0,7
33,10.0,25
34,10.0,10
35,11.0,23
36,11.0,11
37,11.0,32
38,11.0,36
39,11.0,19
40,12.0,26
41,12.0,34
42,13.0,7
43,13.0,35
44,13.0,1
45,14.0,12
46,14.0,36
47,14.0,-1
48,16.0,40
49,16.0,23
50,16.0,24
51,16.0,34
52,17.0,34
53,17.0,35
54,18.0,10
55,19.0,10
56,20.0,9
57,21.0,4
58,21.0,35
59,21.0,11
60,21.0,36
61,22.0,37
62,23.0,4
63,23.0,13
64,23.0,-1
65,23.0,36
66,23.0,35
67,23.0,7
68,24.0,12
69,24.0,11
70,24.0,-1
71,24.0,19
72,24.0,7
73,24.0,32
74,25.0,7
75,25.0,18
76,25.0,-1
77,25.0,36
78,25.0,32
