frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
17,SCDR,2/9/16,10:28 AM,1,10,RYG,5,0,RYG,R,TP-R,W,0,,,, -GYBl,R,,,R,,,NA,1,,
,,,,,,,,,GYBl,R,TP-R,AN,,,,, -GWR,,,,,,,,,,
,,,,,,,,,RB,R,TP-R,L,,,,, +GYBl,,,L,,,,,,,
,,,,,,,,,GWR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWB,R,,L,,,,,,,,,,,,,,,
17,SCDR,2/10/16,10:21 AM,2,24,GYBl,5,0,GYBl,G,,L/AB,0,,,, -GWR,G,,, -,,,,0,,
,,,,,,,,,GBl,R,TP-R,H/AB,,,,, -GB,,,,,,,,,,
,,,,,,,,,RBG,R,TP-R,H/T,,,,, +GB,,,,,,,,,,
,,,,,,,,,GB,R,,L/AB,,,,, +GWR,,,,,,,,,,
,,,,,,,,,GWR,G,,L,,,,,,,,,,,,,,,
17,SCDR,2/11/16,2:05 PM,3,23,GYBl,4,0,GYBl,G,TP-G,L,0,,,, -GYBl,,,,G,,,NA,1,,
,,,,,,,,,GBR,G,TP-G,L,,,,, +GYBl,,,L,,,,,,,
,,,,,,,,,GYR,G,TP-R,H,,,,, -GYR,G,,,,,,,,,
,,,,,,,,,GWR,R,TP-G,W,,,,,,,,,,,,,,,
17,SCDR,2/13/16,11:50 AM,4,35,GWBl,8,0,GWBl,R,TP-R,H,7,GYB,R,, -GWR,,WEB,,R,,,NA,1,,
,,,,,,,,,GWR,R,,W,,GWG,R,, +GWR,,,AB,,,,,,,
,,,,,,,,,RB,R,,L,,GYW,R,, -RB,,WEB,,,,,,,,
,,,,,,,,,RYG,G,,H,,RWB,G,, -RYG,,,,,,,,,,
,,,,,,,,,GWB,R,,L/AB/H,,RBW,G,, -GWB,,WEB,,,,,,,,
,,,,,,,,,GB,R,,AB,,RBY,G,WEB, -GB,R,WEB,,,,,,,,
,,,,,,,,,GY,R,TP-R,AN,,RBR,G,,,,,,,,,,,,
,,,,,,,,,RBG,R,TP-R,AB,,,,,,,,,,,,,,,
17,SCDR,2/15/16,3:20 PM,5,10,RBY,3,0,RBY,R,TP-R,H/T,5,GYB,G,, -RBl,,,,G,150,180,30,4,,
,,,,,,,,,RBl,R,,H,,GW,G,, +RBl,,,AB,,,,,,,
,,,,,,,,,RWB,R,TP-G,W,,GWG,G,, -RBl,,,,,,,,,,
,,,,,,,,,,,,,,RY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYB,G,WEB,,,,,,,,,,,
17,SCDR,2/16/16,4:05 PM,6,32,GYB,7,0,GYB,R,TP-R,W,9,RYBl,R,, -RYB,,,,R,,,NA,1,,
,,,,,,,,,RWB,R,,W,,RB,G,,,,,,,,,,,,
,,,,,,,,,RBG,R,,H,,GB ,R,,,,,,,,,,,,
,,,,,,,,,GYG,R,TP-R,L,,GWR,R,,,,,,,,,,,,
,,,,,,,,,GBW,R,TP-R,H,,RYG,R,,,,,,,,,,,,
,,,,,,,,,RYB,G,,W,,RY,G,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,H,,RR,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RBl,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GWG,G,,,,,,,,,,,,
17,SCDR,2/17/16,10:40 AM,7,70,GR,6,0,GR,G,,H,9,RYB ,R,, -RYBl,,,,R,,,NA,1,,
,,,,,,,,,GYBl,R,TP-R,H,,GYW,G,, -RYG,,,,,,,,,,
,,,,,,,,,RYG,G,TP-G,L,,GBR,G,, +RYG,,,H,,,,,,,
,,,,,,,,,GWBl,R,TP-R,L/W,,RBR,R,,,,,,,,,,,,
