frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
27,SCSR,4/16/16,11:38 AM,1,4,RWB,5,0,RWB,TOP(R?),,T,1,RBG,R,, -GWG,,WEB,,,,,,0,,
,,,,,,,,4,GWG,TOP(R?),,W,,,,,,,,,,,,,,,
,,,,,,,,11,GWY,G,TP-G,L,,,,,,,,,,,,,,,
,,,,,,,,12,RWY,TOP(R?),,H,,,,,,,,,,,,,,,
,,,,,,,,14,RYR,R,,AB,,,,,,,,,,,,,,,
27,SCSR,4/18/16,1:32 PM,2,6,GY,6,0,GY,R,,L,2,UNMARKED,,, -RBG,,,,,,,,0,,
,,,,,,,,1,RYR,R,TP-R,H,,UNMARKED,,, +RBG,,,AB,,,,,,,
,,,,,,,,2,RY,R,,T,,,,, -GR,,,,,,,,,,
,,,,,,,,2,RBG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,36,RYBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,AB,,,,,,,,,,,,,,,
27,SCSR,4/19/16,1:50 PM,3,8,GBl,5,0,GBl,R,,AB/T,0,,,, -GY,,,,R,,,NA,1,,
,,,,,,,,2,RWBl,R,,AB/T,,,,, -RWBl,,,,,,,,,,
,,,,,,,,11,GY,R,,AN,,,,, +GY,,,T,,,,,,,
,,,,,,,,17,RW,R,,T,,,,, -GY,,WEB,,,,,,,,
,,,,,,,,26,RWR,R,TP-R,T,,,,,,,,,,,,,,,
27,SCSR,4/21/16,12:40 PM,4,8,RBl,7,0,RBl,G,,AN/L,0,,,,,,,,,,,,0,,
,,,,,,,,10,RBG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,11,GWG,G,,AN,,,,,,,,,,,,,,,
,,,,,,,,13,RBR,R,,W/T,,,,,,,,,,,,,,,
,,,,,,,,112,GWY,R,TP-R,AB,,,,,,,,,,,,,,,
,,,,,,,,112,GWR,,,W,,,,,,,,,,,,,,,
,,,,,,,,127,GB,G,,AB,,,,,,,,,,,,,,,
27,SCSR,4/21/16,2:48 PM,5,9,RYBl,5,0,RYBl,R,,AB/T,0,,,,,,,,,,,,0,,
,,,,,,,,7,RBY,G,,AN/T,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,W/H,,,,,,,,,,,,,,,
,,,,,,,,9,GWG,R,TP-G,AB,,,,,,,,,,,,,,,
,,,,,,,,9,RBR,G,,AB,,,,,,,,,,,,,,,
27,SCSR,4/21/16,4:00 PM,6,22,GWG,7,0,GWG,R,,L/AN,2,GR,G,, -RBY,,,,R,,,NA,1,,
,,,,,,,,11,GBl,R,,W,,GWB,R,, -GBl,,,,,,,,,,
,,,,,,,,12,RBY,R,WEB,W,,,,, -RWR,,,,,,,,,,
,,,,,,,,14,RYBl,R,,W,,,,, -RYBl,,WEB,,,,,,,,
,,,,,,,,40,RWR,R,,W,,,,, +RBY,,,T,,,,,,,
,,,,,,,,63,GG,R,TP-R/WEB,L,,,,, -RBY,,WEB,,,,,,,,
,,,,,,,,,GY,R,,L,,,,, +RYBl,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, +RBY,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, -RYBl,,,,,,,,,,
,,,,,,,,,,,,,,,,, -GWG,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GWG,,,T,,,,,,,
27,SCSR,4/22/16,2:27 PM,7,18,RYR,5,0,RYR,R,,H,0,,,, -GBW,,,,,,,,0,,
,,,,,,,,1,RWR,G,TP-G,L/AB,,,,, +GBW,,,AB,,,,,,,
