frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GBW,G,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYW,,,,,,,,,,,,,,,,,,
19,DC,2/18/16,3:55 PM,5,20,RW,5,0,RW,G,,W,7,RYG,G,, -RR,,,,,,,,0,,
,,,,,,,,,RBW,G,,H,,RWB,G,, -RW,,,,,,,,,,
,,,,,,,,,RR,G,,H/W,,GYBl,G,, -GYB,,WEB,,,,,,,,
,,,,,,,,,GYB,R,,AB,,GB,G,, +GYB,,,W,,,,,,,
,,,,,,,,,RBY,,,AB,,GYW,G,, -RBY,,WEB,,,,,,,,
,,,,,,,,,,,,,,GBY,G,, -RBW,,,,,,,,,,
,,,,,,,,,,,,,,RBl,R,, -GYB,,WEB,,,,,,,,
19,DC,2/19/16,4:40 PM,6,24,GW,6,0,GW,G,,W,2,GWBl,G,, -GBG,,WEB,,G,,309,NA,4,,
,,,,,,,,,RYG,R,,L,,GYBl,G,, -GBY,,,,,,,,,,
,,,,,,,,,GBY,G,,L,,,,, -GY,,,,,,,,,,
,,,,,,,,,GBG,R,,H,,,,, -GW,,,,,,,,,,
,,,,,,,,,GY,R,,AN/H,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,TP-G,W,,,,,,,,,,,,,,,
19,DC,2/20/16,11:34 AM,7,8,GYG,6,0,GYG,G,TP-G,L,2,GYR,R,, -RWBl,,WEB,,G,,276,NA,4,,
,,,,,,,,,GB,G,TP-G,L,,GWBl,R,, -RWR,,,,,,,,,,
,,,,,,,,,RWR,G,,L,,,,, -RYR,,,,,,,,,,
,,,,,,,,,RWBl,G,,AB,,,,, +RYR,,,,,,,,,,
,,,,,,,,,RYR,G,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,T,,,,,,,,,,,,,,,
19,DC,2/22/16,3:45 PM,8,9,GYW,7,0,GYW,G,TP-G,W,5,RYG,R,, -GWR,,,,,,,,0,,
,,,,,,,,4,GWR,G,,L,,GY,R,, -GYR,,,,,,,,,,
,,,,,,,,8,GYR,R,,H,,RB,R,, -GWB,,,,,,,,,,
,,,,,,,,52,GWB,G,,L,,GBG,G,, -GYG,,,,,,,,,,
,,,,,,,,67,GYG,R,,AN,,,,, +GYG,,,L,,,,,,,
,,,,,,,,171,RWB,G,,L,,,,, +GWR,,,L,,,,,,,
,,,,,,,,251,GWBl,G,,L,,,,,,,,,,,,,,,
19,DC,2/23/16,11:00 AM,9,58,GBY,4,0,GBY,G,TP-G,W,1,RBR,G,,,,,,,,,,0,,
,,,,,,,,,RWG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYG,G,WEB,W,,,,,,,,,,,,,,,
19,DC,2/26/16,2:38 PM,10,12,GYW,9,0,GYW,R,,AB,2,GW,R,,,,,, - ,,,,0,,
,,,,,,,,,RYR,R,,L,,RBW,R,WEB,,,,,,,,,,,
,,,,,,,,,GBY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBW,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,WEB,L,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,AB,,,,,,,,,,,,,,,
19,DC,2/29/16,12:10 PM,11,10,RYR,13,0,RYR,G,,L/AB,3,GB,R,,,,,,,,,,0,,
,,,,,,,,,GWBl,G,,H/AB,,GWR,G,,,,,,,,,,,,
,,,,,,,,,RYG,G,,T,,RWY,G,WEB,,,,,,,,,,,
,,,,,,,,,GBY,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,H/T,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,W,,,,,,,,,,,,,,,
19,DC,3/2/16,3:46 PM,12,25,RYG,7,0,RYG,G,,L,2,GBl,G,,,,,,,,,,0,,
,,,,,,,,,RR,G,,W,,GYW,G,WEB,,,,,,,,,,,
,,,,,,,,,GB,G,TP-G,H,,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,,,,,,,,,,,,
19,DC,3/3/16,10:15 AM,13,4,GWG,10,0,GWG,G,,L,3,RBR,R,,,,,,,,,,0,,
,,,,,,,,,GYG,R,,W,,GYBl,G,,,,,,,,,,,,
,,,,,,,,,RWB,G,,L,,RR,R,,,,,,,,,,,,
,,,,,,,,,RYG,R,,L/AB,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RW,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWY,,,,,,,,,,,,,,,,,,
19,DC,3/4/16,10:40 AM,14,5,GWG,9,0,GWG,R,,L,2,RYG,G,,,,,,,,,,0,,
,,,,,,,,,RR,R,,W,,GWR,G,,,,,,,,,,,,
,,,,,,,,,GY,G,,L,, ,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,R_,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,L/T,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,L/W,,,,,,,,,,,,,,,
19,DC,3/5/16,2:40 PM,15,25,RWG,14,0,RWG,G,WEB,L,0,,,, -GW,,,, -,,,,0,,
,,,,,,,,,RBW,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,AB/L,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,WEB,AB,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GWR,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,AB,,,,,,,,,,,,,,,
19,DC,3/8/16,6:15 PM,16,32,RBR,5,0,RBR,R,TP-G,H,4,GWBl,G,, -RBR,,,,R,,,NA,3,,
,,,,,,,,,GWG,R,,L,,GB,G,, -GWG,,,,,,,,,,
,,,,,,,,,GYBl,R,,L,,GY,R,, -GYBl,,,,,,,,,,
,,,,,,,,,RR,G,TP-G,T,,GYW,R,,,,,,,,,,,,
,,,,,,,,,RBW,,,T,,,,,,,,,,,,,,,
19,DC,3/9/16,10:00 AM,17,34,RR,7,0,RR,G,TP-G,AN,2,GYW,G,, -UNMARKED,,,,,,,,0,,
,,,,,,,,,RB,R,,W,,GYBl,G,, +UNMARKED,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,H,,,,, -RYR,,,,,,,,,,
,,,,,,,,,GYR,G,,W,,,,, +RYR,,,W,,,,,,,
,,,,,,,,,RBY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,T,,,,,,,,,,,,,,,
19,DC,3/10/16,4:00 PM,18,20,GYR,6,0,GYR,G,,W,1,RBW,G,, -RYR,,,,UP,300,,NA,2,,
,,,,,,,,,RYG,G,TP-R,L,,,,, -GYR,,,,,,,,,,
,,,,,,,,,RWB,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,TP-G,W,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,WEB,L,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,L,,,,,,,,,,,,,,,
19,DC,3/12/16,12:13 PM,19,31,RWY,4,0,RWY,G,,L/AB,1,RBW,G,,,,,,,,,,0,,
,,,,,,,,,RYG,R,,L/H,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,W/T,,,,,,,,,,,,,,,
,,,,,,,,,GWR,G,,W/T,,,,,,,,,,,,,,,
19,DC,3/13/16,3:32 PM,20,1,RY,9,0,RY,DOWN,,W/H,0,,,,,,,,,,,,0,,
,,,,,,,,,RWB,R,,L/H,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,AB,,,,,,,,,,,,,,,
19,DC,3/14/16,NA,21,11,RWR,7,0,RWR,G,,AN,4,RY,G,,,,,,,,,,0,,
,,,,,,,,1,RR,G,,H,,GYBl,G,,,,,,,,,,,,
,,,,,,,,2,GYG,R,,L,,RYR,G,,,,,,,,,,,,
,,,,,,,,3,RWG,G,,L,,GWR,R,,,,,,,,,,,,
,,,,,,,,3,GWG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,3,RB,R,,H,,,,,,,,,,,,,,,
,,,,,,,,107,RYG,G,,AN,,,,,,,,,,,,,,,
19,DC,3/15/16,3:10 PM,22,31,RW,4,0,RW,R,,W,1,GWG,UP,, -RW,,WEB,,R,180,,NA,3,,
,,,,,,,,19,RB,R,WEB,L,,,,, -GWR,,,,,,,,,,
,,,,,,,,67,RY,G,WEB,W,,,,, +GWR,R,,,,,,,,,
,,,,,,,,112,GWR,R,,AB,,,,, +RW,,,T,,,,,,,
,,,,,,,,,,,,,,,,, -RW,,WEB,,,,,,,,
19,DC,3/16/16,11:25 AM,23,10,GYG,6,0,GYG,G,,L,6,RY,R,,,,,,,,,,0,,
,,,,,,,,,RYG,G,,W,,RYB,R,,,,,,,,,,,,
,,,,,,,,,GW,G,,AB,,R_,R,,,,,,,,,,,,
,,,,,,,,,RWY,G,,H,,GWR,G,,,,,,,,,,,,
,,,,,,,,,RYR,R,,W/AB,,GYBl,G,,,,,,,,,,,,
,,,,,,,,,RWB,R,,L,,RBR,G,,,,,,,,,,,,
19,DC,3/17/16,2:15 PM,24,25,RYG,3,0,RYG,R,WEB,W,6,RYR,R,, -RB,,WEB,,,,,,0,,
,,,,,,,,35,GWR,G,TP-G/WEB,W,,R_,R,, +RB,,,AB,,,,,,,
,,,,,,,,89,RB,R,,L,,RWY,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RBR,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,G,,,,,,,,,,,,
19,DC,3/18/16,10:00 AM,25,19,RYG,4,0,RYG,R,,W,5,RBR,G,, -RR,,WEB,,,,,,0,,
,,,,,,,,1,RYR,G,,W,,RWB,R,, -RYR,,WEB,,,,,,,,
,,,,,,,,30,RR,R,,AN,,R_,R,, +RYR,,,AN,,,,,,,
,,,,,,,,,GYR,G,,W,,GWR,R,, -RYG,,,,,,,,,,
,,,,,,,,,,,,,,GYG,G,WEB, -RYB,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
