frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
21,DC,3/8/16,NA,1,41,GBR,5,0,GBR,R,,H,2,RB,R,, -GWBl,,,,G,,,NA,3,,
,,,,,,,,14,GY,R,,L,,GB,G,, -GY,,,,,,,,,,
,,,,,,,,31,GWY,R,TP-G,W,,,,,,,,,,,,,,,
,,,,,,,,54,GWBl,R,,H,,,,,,,,,,,,,,,
,,,,,,,,349,RW,G,,L,,,,,,,,,,,,,,,
21,DC,3/9/16,10:40 AM,2,8,RBG,5,0,RBG,UP,,AB,3,RYR,G,,,,,,R,180,,NA,3,,
,,,,,,,,,RYBl,G,TP-G,H,,RW,G,,,,,,,,,,,,
,,,,,,,,,RWG,G,,L/T,,RG,R,,,,,,,,,,,,
,,,,,,,,,RBY,R,TP-R,L/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,,,,,,,,,,,,,,
21,DC,3/10/16,3:15 PM,3,35,RW,4,0,RW,R,TP-R,W,2,RBG,R,, -GR,,WEB,, -,,,,0,,
,,,,,,,,,GY,R,,L,,GG,G,, +GR,,,AB,,,,,,,
,,,,,,,,,RB,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,L,,,,,,,,,,,,,,,
21,DC,3/12/16,11:48 AM,4,32,RWY,7,0,RWY,G,,W,1,RWR,R,, -RWY,G,,,G,468,,NA,3,,
,,,,,,,,21,RBY,G,,W,,,,, -RBY,G,,,,,,,,,
,,,,,,,,52,RBR,G,,AN,,,,, -RBR,G,,,,,,,,,
,,,,,,,,86,GBG,G,,L,,,,, -GBG,G,,,,,,,,,
,,,,,,,,122,GWG,R,TP-R,L/AB,,,,, +GBG,,TP-G,AB,,,,,,,
,,,,,,,,486,RWBl,G,,T,,,,, +RBY,,TP-R,T/H,,,,,,,
,,,,,,,,620,RY ,G,,AB,,,,,,,,,,,,,,,
21,DC,3/13/16,5:35 PM,5,34,RWG,3,0,RWG,UP,,L,3,GBG,UP,, -RYB,,WEB,, - ,,,,0,,
,,,,,,,,89,GY,R,WEB,AN,,RG,G,, +RYB,,,H,,,,,,,
,,,,,,,,97,RYB ,G,,W,,RB,G,, -GY,,WEB,,,,,,,,
21,DC,3/14/16,2:40 PM,6,13,Dead so removed,,,,,,,4,GY,R,, -RYBl,,,,R,150,300,150,4,,
,,,,,,,,,RWY,R,,W,,GBW,R,, +RYBl,,,L,,,,,,,
,,,,,,,,,RYBl,G,,AN,,RWBl,R,, -RW,,,,,,,,,,
,,,,,,,,,RW ,R,,L,,GW,R,, -RYBl,,,,,,,,,,
21,DC,3/15/16,3:30 PM,7,23,RY,2,0,RY,G,TP-R,L/AB,2,RYW,G,,,,,, -,,,,0,,
,,,,, ,,,,RWY,G,,AN/T/H,,RYB,G,,,,,,,,,,,,
21,DC,3/16/16,10;12AM,8,15,RY,3,0,RY,R,,L,2,RBW,UP,,,,,,R,,316,NA,4,,
,,,,,,,,,RYBl,UP,,L,,RYB,G,,,,,,,,,,,,
,,,,,,,,,RYR,UP,TP-R,W,,,,,,,,,,,,,,,
21,DC,3/21/16,3:00 PM,9,40,GWY,4,0,GWY,G,TP-G,H,5,GW,G,,,,,, - ,,,,0,,
,,,,,,,,,GWR,R,,L,,GYG,G,,,,,,,,,,,,
,,,,,,,,,GYB,G,,W/T,,GBR,R,,,,,,,,,,,,
,,,,,,,,,GYR,R,,L,,RR,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GBW,R,,,,,,,,,,,,
21,DC,3/22/16,2:08 PM,10,28,RB,4,0,RB,G,WEB,W,5,GBW,R,, -RB,,WEB,,G,300,,NA,1,,
,,,,,,,,,RBG,G,,AN,,GW,G,, +RB,,,T,,,,,,,
,,,,,,,,,GYR,UP,,AB,,GWG,G,, -RB,,,,,,,,,,
,,,,,,,,,RBl,R,TP-G,H,,GYW,G,, -GYR,,,,,,,,,,
,,,,,,,,,,,,,,RY,,,,,,,,,,,,,
21,DC,3/23/16,11:37 AM,11,40,GBR,5,0,GBR,G,,AB,2,RWB ,UP,, -GBl,,WEB,, - ,,,,0,,
,,,,,,,,,RB,G,,W/T,,RBG,UP,, -GYR,,WEB,,,,,,,,
,,,,,,,,,GWR,R,,W ,,,,, -GWR,,WEB,,,,,,,,
,,,,,,,,,GBl,UP,,W ,,,,, +GBl,,,H,,,,,,,
,,,,,,,,,GYR,UP,,T,,,,, +GWR,,,W,,,,,,,
21,DC,3/24/16,11:33 AM,12,40,RR,9,0,RR,UP,,W,0,,,, -GWY,,,, -,,,,0,,
,,,,,,,,,RY,R,,AB,,,,, -GYW,,,,,,,,,,
,,,,,,,,,GR,R,,L,,,,, +GYW,,,,,,,,,,
,,,,,,,,,GYR,R,,W/AB,,,,, +GWY,,,L,,,,,,,
,,,,,,,,,RYR,UP,,W/L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,AN/AB,,,,,,,,,,,,,,,
,,,,,,,,,GWY,,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GWR,,,H,,,,,,,,,,,,,,,
21,DC,3/25/16,2:15 PM,13,26,RY,5,0,RY,G,,AB,2,GYBl,R,, -RY,,,,G,96,,NA,1,,
,,,,,,,,,RR,G,,L,,RBG,G,,,,,,,,,,,,
,,,,,,,,,GYW,G,TP-G,L,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,TP-DOWN,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,L,,,,,,,,,,,,,,,
21,DC,3/26/16,10:39 AM,14,110,GY,3,0,GY,G,,L,1,GYG,R,,,,,,G,403,,NA,1,,
,,,,,,,,,GBW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,TP-R,AN,,,,,,,,,,,,,,,
21,DC,3/28/16,10:15 AM,15,36,GBW,6,0,GBW,R,,L,2,GWG,G,, -GBW,,WEB,,R,159,,NA,3,AFTER 13 MINT S-4,
